Year,ISSN,Abbreviation,Publisher,URL
"2019","2578-5885","Pure Appl. Anal.","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25785885"
"2019","2576-7658","Tunis. J. Math.","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25767658"
"2018","2589-5486","Algebr. Comb.","MathOA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25895486"
"2018","2511-2481","Inf. Geom.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25112481"
"2018","2520-8756","Jpn. J. Stat. Data Sci.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25208756"
"2017","2432-1656","Appl. Anal. Optim.","Yokohama Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24321656"
"2017","2474-0500","Australas. Philos. Rev.","Taylor & Francis, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24740500"
"2017","2452-3062","Econom. Stat.","Elsevier Science B.V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24523062"
"2017","2209-0606","High. Struct.","Macquarie University, Department of Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22090606"
"2017","2468-6018","IFAC J. Syst. Control","Elsevier","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24686018"
"2017","2367-1726","J. Appl. Comput. Topol.","Springer International","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23671726"
"2017","2415-6302","J. Comb. Algebra","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24156302"
"2017","2398-4945","Trans. Math. Appl.","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23984945"
"2017","2520-6508","Zh. Beloruss. Gos. Univ. Mat. Inform.","Belorusskii Gosudarstvennyi Universitet","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25206508"
"2017","2491-6765","Epijournal Geom. Algebrique","Epijournal de Geometrie Algebrique","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24916765"
"2016","2424-922X","Adv. Data Sci. Adapt. Anal.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2424922X"
"2016","2499-1287","Adv. Group Theory Appl.","AGTA. Advances in Group Theory and Applications Association","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24991287"
"2016","2538-225X","Adv. Oper. Theory","Tusi Mathematical Research Group (TMRG)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2538225X"
"2016","2531-7741","Anal. Geom. Number Theory","Fabrizio Serra Editore","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25317741"
"2016","2379-1683","Ann. K-Theory","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23791683"
"2016","2380-288X","Ann. Math. Sci. Appl.","International Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2380288X"
"2016","2444-8656","Appl. Math. Nonlinear Sci.","Sciendo","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24448656"
"2016","0532-811X","Bull. Univ. Teach. Educ. Fukuoka. III","University of Teacher Education Fukuoka","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=0532811X"
"2016","2500-0101","Chelyab. Fiz.-Mat. Zh.","Chelyabinskii Gosudarstvennyi Universitet","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25000101"
"2016","2538-2128","Commun. Comb. Optim.","Azarbaijan Shahid Madani University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25382128"
"2016","2397-3129","Discrete Anal.","Alliance of Diamond Open Access Journals","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23973129"
"2016","2059-6987","Dyn. Stat. Clim. Syst.","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20596987"
"2016","1737-0299","Grad. J. Math.","Mediterranean Institute for the Mathematical Sciences","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17370299"
"2016","2379-9927","Int. J. Comput. Math. Comput. Syst. Theory","Taylor & Francis, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23799927"
"2016","2367-0126","Probab. Uncertain. Quant. Risk","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23670126"
"2016","2189-3756","Pure Appl. Funct. Anal.","Yokohama Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21893756"
